dataset_num,motif_discovery=0|motif_occupancy=1,dataset_name,roc_auc,prc_auc,time(sec),batch size,steps
0,0,wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk,0.794759466,0.766017622,124.8947721,2048,600
0,1,wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk,0.62869364,0.613656352,123.9971602,2048,600
1,0,wgEncodeAwgTfbsSydhK562Atf106325UniPk,0.876465789,0.856343595,127.360168,2048,600
1,1,wgEncodeAwgTfbsSydhK562Atf106325UniPk,0.834188042,0.818857127,126.2094331,2048,600
2,0,wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk,0.907593926,0.891613371,129.2841699,2048,600
2,1,wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk,0.807765574,0.782686199,128.8848209,2048,600
3,0,wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk,0.910136409,0.87052349,126.6125581,2048,600
3,1,wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk,0.748951087,0.728308705,129.487515,2048,600
4,0,wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk,0.736793731,0.731915585,127.533582,2048,600
5,0,wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk,0.742462155,0.73770325,129.8272159,2048,600
7,0,wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk,0.869825476,0.852990549,135.960232,2048,600
7,1,wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk,0.749802702,0.75410956,142.638412,2048,600
8,0,wgEncodeAwgTfbsHaibK562Cbx3sc101004V0422111UniPk,0.773080099,0.755422194,137.4814651,2048,600
9,0,wgEncodeAwgTfbsSydhK562Ccnt2UniPk,0.818433543,0.807171339,138.488662,2048,600
10,0,wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,0.96791354,0.963572824,144.7667131,2048,600
10,1,wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,0.775547005,0.740886279,160.577477,2048,600
11,0,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk,0.934412699,0.926169668,140.8697031,2048,600
11,1,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk,0.751315386,0.732728355,147.4584532,2048,600
12,0,wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk,0.74470049,0.73760376,137.88307,2048,600
13,0,wgEncodeAwgTfbsSydhK562Chd2ab68301IggrabUniPk,0.831078703,0.817191349,138.4863391,2048,600
14,0,wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk,0.95231517,0.948673835,151.6215341,2048,600
14,1,wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk,0.785538076,0.781510001,162.085633,2048,600
15,0,wgEncodeAwgTfbsUwK562CtcfUniPk,0.950321964,0.94119006,151.67665,2048,600
15,1,wgEncodeAwgTfbsUwK562CtcfUniPk,0.783407266,0.779350565,162.618901,2048,600
16,0,wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk,0.956116459,0.950174134,157.7232621,2048,600
16,1,wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk,0.781283151,0.771091404,168.1770802,2048,600
17,0,wgEncodeAwgTfbsBroadK562CtcfUniPk,0.91559272,0.894503544,159.7309229,2048,600
17,1,wgEncodeAwgTfbsBroadK562CtcfUniPk,0.753202119,0.747615651,174.6541181,2048,600
18,0,wgEncodeAwgTfbsUtaK562CtcfUniPk,0.967561558,0.965246032,161.7264109,2048,600
18,1,wgEncodeAwgTfbsUtaK562CtcfUniPk,0.804436628,0.797142823,170.3284762,2048,600
19,0,wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk,0.954201469,0.953014053,150.218437,2048,600
20,0,wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,0.848065234,0.847784658,148.4750052,2048,600
20,1,wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,0.765568005,0.783469534,169.181602,2048,600
21,0,wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,0.853339832,0.845709427,153.500792,2048,600
21,1,wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,0.791733085,0.805593005,181.3936989,2048,600
22,0,wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,0.830303146,0.828220353,161.404278,2048,600
22,1,wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,0.793839572,0.799001201,243.5661469,2048,600
23,0,wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk,0.933215988,0.930630161,228.3446729,2048,600
23,1,wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk,0.743812337,0.746587251,206.0287452,2048,600
24,0,wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk,0.928091842,0.923478523,161.8302202,2048,600
24,1,wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk,0.741145378,0.734038572,172.430686,2048,600
