dataset_num,motif_discovery=0|motif_occupancy=1,dataset_name,roc_auc,prc_auc,time(sec)
0,0,wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk,0.856490109,0.818979249,159.6144772
0,1,wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk,0.664913506,0.668884116,159.4043109
1,0,wgEncodeAwgTfbsSydhK562Atf106325UniPk,0.917345802,0.904105682,159.9036319
1,1,wgEncodeAwgTfbsSydhK562Atf106325UniPk,0.858687199,0.846145782,159.871752
2,0,wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk,0.951200764,0.946850979,160.229769
2,1,wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk,0.833424762,0.806376266,160.2945528
3,0,wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk,0.936514052,0.913832111,159.6813149
3,1,wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk,0.839651162,0.815407611,160.2123349
4,0,wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk,0.761455754,0.747106741,160.2846282
5,0,wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk,0.763749464,0.754711259,160.951951
6,0,wgEncodeAwgTfbsSydhK562Bdp1UniPk,0.7775,0.791264729,161.3885989
7,0,wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk,0.912611283,0.903828151,160.973418
7,1,wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk,0.886349934,0.869742361,161.3370101
8,0,wgEncodeAwgTfbsHaibK562Cbx3sc101004V0422111UniPk,0.843618679,0.824927886,160.9693251
9,0,wgEncodeAwgTfbsSydhK562Ccnt2UniPk,0.850614495,0.839104714,160.131654
10,0,wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,0.977873651,0.97687371,160.975477
10,1,wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,0.859217001,0.845726647,161.6859429
11,0,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk,0.953585279,0.948281688,160.056572
11,1,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk,0.866633172,0.845087166,160.8199589
12,0,wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk,0.757451013,0.754157554,159.6984358
13,0,wgEncodeAwgTfbsSydhK562Chd2ab68301IggrabUniPk,0.899696996,0.892240141,160.5671861
14,0,wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk,0.976904666,0.9753732,160.4012032
14,1,wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk,0.835779059,0.82800187,162.1119711
15,0,wgEncodeAwgTfbsUwK562CtcfUniPk,0.98036624,0.978316642,160.8066921
15,1,wgEncodeAwgTfbsUwK562CtcfUniPk,0.822522981,0.809861685,161.7203491
16,0,wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk,0.976836679,0.974157046,161.6633029
16,1,wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk,0.828505176,0.816926397,162.247278
17,0,wgEncodeAwgTfbsBroadK562CtcfUniPk,0.946934485,0.931670874,160.7405801
17,1,wgEncodeAwgTfbsBroadK562CtcfUniPk,0.791495202,0.782066416,162.365464
18,0,wgEncodeAwgTfbsUtaK562CtcfUniPk,0.983877443,0.983234636,160.9398029
18,1,wgEncodeAwgTfbsUtaK562CtcfUniPk,0.850438542,0.840586807,161.459579
19,0,wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk,0.974410862,0.973260151,160.7046611
20,0,wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,0.881111201,0.874831453,160.0791142
20,1,wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,0.869055208,0.872608332,161.474297
21,0,wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,0.885488262,0.881987999,160.1805658
21,1,wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,0.830840336,0.841340124,162.145566
22,0,wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,0.858267061,0.855716822,160.714812
22,1,wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,0.837929955,0.843120697,161.3799579
23,0,wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk,0.95524237,0.953921102,161.0027978
23,1,wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk,0.826184625,0.820883045,164.123342
24,0,wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk,0.946611006,0.945280262,160.003011
24,1,wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk,0.777470811,0.770356139,160.5988419
