dataset_num,motif_discovery=0|motif_occupancy=1,dataset_name,roc_auc,prc_auc,time(sec)
0,0,wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk,0.679958015,0.633320164,109.523736
0,1,wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk,0.563004927,0.563374702,109.4853899
1,0,wgEncodeAwgTfbsSydhK562Atf106325UniPk,0.665242753,0.640007237,112.5184791
1,1,wgEncodeAwgTfbsSydhK562Atf106325UniPk,0.755697275,0.745685505,110.208581
2,0,wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk,0.666158778,0.646745586,113.880969
2,1,wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk,0.654145015,0.643653113,113.8889959
3,0,wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk,0.635499612,0.602314251,111.7643819
3,1,wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk,0.628435686,0.643200937,114.3935218
4,0,wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk,0.562585272,0.518341272,112.2353961
5,0,wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk,0.599767377,0.585114737,114.3995249
5,0,wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk,0.57697931,0.585944483,526.232091
6,0,wgEncodeAwgTfbsSydhK562Bdp1UniPk,0.542489364,0.547820986,537.098048
7,0,wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk,0.673379567,0.64709751,114.516366
7,1,wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk,0.688914988,0.70125368,121.6180329
8,0,wgEncodeAwgTfbsHaibK562Cbx3sc101004V0422111UniPk,0.626600528,0.598921085,116.67395
9,0,wgEncodeAwgTfbsSydhK562Ccnt2UniPk,0.680279141,0.659636175,117.0563021
10,0,wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,0.701888933,0.675057216,122.6423352
10,1,wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,0.621309829,0.620361014,138.963099
11,0,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk,0.679919908,0.661685674,119.6458118
11,1,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk,0.635692409,0.631092143,126.0894871
12,0,wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk,0.654962771,0.643876611,117.846508
13,0,wgEncodeAwgTfbsSydhK562Chd2ab68301IggrabUniPk,0.681030138,0.646411949,117.253731
14,0,wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk,0.825821669,0.814304184,131.208977
14,1,wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk,0.679834403,0.704287141,141.7172029
15,0,wgEncodeAwgTfbsUwK562CtcfUniPk,0.818463602,0.805847827,130.7879801
15,1,wgEncodeAwgTfbsUwK562CtcfUniPk,0.688080289,0.713827717,142.1550689
16,0,wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk,0.811691375,0.799127088,137.1366899
16,1,wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk,0.682217861,0.70105868,147.1710489
17,0,wgEncodeAwgTfbsBroadK562CtcfUniPk,0.755588441,0.731640552,138.198631
17,1,wgEncodeAwgTfbsBroadK562CtcfUniPk,0.668055712,0.692766452,155.4616301
18,0,wgEncodeAwgTfbsUtaK562CtcfUniPk,0.787207314,0.776271024,141.2876961
18,1,wgEncodeAwgTfbsUtaK562CtcfUniPk,0.679312837,0.706097373,149.614044
19,0,wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk,0.806267839,0.80509274,127.1404018
20,0,wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,0.662151304,0.634750463,127.452316
20,1,wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,0.75111789,0.768289702,146.337662
21,0,wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,0.700022025,0.676803048,135.4553449
21,1,wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,0.769038117,0.777704425,158.4432001
22,0,wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,0.653898251,0.630637307,132.6506701
22,1,wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,0.774504306,0.77674635,152.5112669
23,0,wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk,0.805674914,0.790731173,141.3603811
23,1,wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk,0.683805035,0.687146863,186.1168752
24,0,wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk,0.723903887,0.716732976,139.2711608
24,1,wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk,0.718767133,0.702388681,147.6325381
25,0,wgEncodeAwgTfbsSydhK562P300IggrabUniPk,0.703673719,0.688703766,141.3853211
26,0,wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk,0.650598386,0.631999838,136.20877
26,1,wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk,0.769921449,0.754686114,139.7489879
27,0,wgEncodeAwgTfbsSydhK562CfosUniPk,0.668156894,0.650264526,138.238292
27,1,wgEncodeAwgTfbsSydhK562CfosUniPk,0.626013999,0.642457771,141.5041089
28,0,wgEncodeAwgTfbsUchicagoK562EfosUniPk,0.673893465,0.649575414,141.7817409
28,1,wgEncodeAwgTfbsUchicagoK562EfosUniPk,0.625114195,0.638708479,148.3143971
29,0,wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk,0.716631556,0.702658451,143.3640361
29,1,wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk,0.625105832,0.63710228,149.927696
30,0,wgEncodeAwgTfbsHaibK562GabpV0416101UniPk,0.712991049,0.70333856,145.4887831
31,0,wgEncodeAwgTfbsSydhK562Gata1UcdUniPk,0.817021163,0.802989313,572.4023411
31,1,wgEncodeAwgTfbsSydhK562Gata1UcdUniPk,0.597164627,0.594201242,144.1480792
32,0,wgEncodeAwgTfbsUchicagoK562Egata2UniPk,0.681295029,0.667307949,147.7639999
32,1,wgEncodeAwgTfbsUchicagoK562Egata2UniPk,0.613979835,0.618708953,151.5244219
33,0,wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk,0.747119945,0.741705918,150.88147
33,1,wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk,0.638854158,0.634013757,155.498112
34,0,wgEncodeAwgTfbsSydhK562Gata2UcdUniPk,0.725148744,0.712444033,148.4345491
34,1,wgEncodeAwgTfbsSydhK562Gata2UcdUniPk,0.621068975,0.638492113,152.1830878
35,0,wgEncodeAwgTfbsSydhK562Gtf2bUniPk,0.605968028,0.570896004,579.416882
36,0,wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk,0.650315228,0.638631059,152.205508
37,0,wgEncodeAwgTfbsHaibK562Hdac2sc6296V0416102UniPk,0.642373579,0.633928845,151.0416231
38,0,wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk,0.618884934,0.598854905,581.7604759
39,0,wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk,0.545290647,0.490385759,579.677012
40,0,wgEncodeAwgTfbsSydhK562Hmgn3UniPk,0.641983727,0.619603659,162.510926
41,0,wgEncodeAwgTfbsSydhK562CjunUniPk,0.715975217,0.718455704,156.5409341
41,1,wgEncodeAwgTfbsSydhK562CjunUniPk,0.702717378,0.702227323,155.9078209
42,0,wgEncodeAwgTfbsUchicagoK562EjunbUniPk,0.668409594,0.664655681,157.6955781
42,1,wgEncodeAwgTfbsUchicagoK562EjunbUniPk,0.619861118,0.636252233,166.5424259
43,0,wgEncodeAwgTfbsUchicagoK562EjundUniPk,0.661013895,0.648011149,163.981138
43,1,wgEncodeAwgTfbsUchicagoK562EjundUniPk,0.617854773,0.644453164,178.306016
44,0,wgEncodeAwgTfbsSydhK562JundIggrabUniPk,0.666970005,0.64626202,172.2690401
44,1,wgEncodeAwgTfbsSydhK562JundIggrabUniPk,0.629986988,0.652428249,183.956538
45,0,wgEncodeAwgTfbsSydhK562Kap1UcdUniPk,0.659140012,0.628161963,593.459852
46,0,wgEncodeAwgTfbsBroadK562Plu1UniPk,0.687181052,0.680347594,167.6443789
47,0,wgEncodeAwgTfbsSydhK562MaffIggrabUniPk,0.738944867,0.72451818,171.054297
47,1,wgEncodeAwgTfbsSydhK562MaffIggrabUniPk,0.614649135,0.612377862,180.915844
48,0,wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk,0.72854079,0.70930424,169.8841541
48,1,wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk,0.608299296,0.608900994,177.592037
49,0,wgEncodeAwgTfbsSydhK562MaxIggrabUniPk,0.674721155,0.65671812,175.631037
49,1,wgEncodeAwgTfbsSydhK562MaxIggrabUniPk,0.684839108,0.687295661,186.4734352
50,0,wgEncodeAwgTfbsHaibK562MaxV0416102UniPk,0.669038659,0.642630181,184.326551
50,1,wgEncodeAwgTfbsHaibK562MaxV0416102UniPk,0.674844735,0.668133727,201.7209141
51,0,wgEncodeAwgTfbsSydhK562Mazab85725IggrabUniPk,0.71242252,0.690595759,182.1367762
52,0,wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk,0.784607026,0.750030331,604.9958129
52,1,wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk,0.696284247,0.72379736,177.3329399
53,0,wgEncodeAwgTfbsSydhK562Mxi1af4185IggrabUniPk,0.633187274,0.610159881,176.5497291
54,0,wgEncodeAwgTfbsSydhK562CmycIggrabUniPk,0.671204147,0.648307036,184.4328671
54,1,wgEncodeAwgTfbsSydhK562CmycIggrabUniPk,0.690333706,0.673969202,192.517673
55,0,wgEncodeAwgTfbsUtaK562CmycUniPk,0.671633296,0.636080493,181.916131
55,1,wgEncodeAwgTfbsUtaK562CmycUniPk,0.763376942,0.754158498,184.5635791
56,0,wgEncodeAwgTfbsSydhK562Nfe2UniPk,0.579026718,0.576909943,607.1907291
56,1,wgEncodeAwgTfbsSydhK562Nfe2UniPk,0.849151556,0.824094656,613.339694
57,0,wgEncodeAwgTfbsSydhK562NfyaUniPk,0.685989291,0.651207603,614.3276038
57,1,wgEncodeAwgTfbsSydhK562NfyaUniPk,0.75678263,0.750618103,184.8068149
58,1,wgEncodeAwgTfbsSydhK562NfybUniPk,0.720603529,0.704969978,191.222749
59,0,wgEncodeAwgTfbsHaibK562Nr2f2sc271940V0422111UniPk,0.677599437,0.659537529,187.2347
60,0,wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk,0.67325435,0.642721808,612.4770861
60,1,wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk,0.795752892,0.812038771,189.9381771
61,0,wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk,0.686418789,0.673159051,112.4727972
62,0,wgEncodeAwgTfbsHaibK562Pmlsc71910V0422111UniPk,0.681875518,0.661893034,111.522368
63,0,wgEncodeAwgTfbsBroadK562Pol2bUniPk,0.647253221,0.635920933,111.2619162
64,0,wgEncodeAwgTfbsHaibK562Pol24h8V0416101UniPk,0.683840281,0.657779072,115.0985
65,0,wgEncodeAwgTfbsSydhK562Pol2UniPk,0.687425423,0.670847687,114.944968
66,0,wgEncodeAwgTfbsSydhK562Pol2IggmusUniPk,0.654961511,0.635291215,113.4278729
67,0,wgEncodeAwgTfbsHaibK562Pol2V0416101UniPk,0.660529135,0.640562275,117.8197639
68,0,wgEncodeAwgTfbsUtaK562Pol2UniPk,0.683522229,0.660322808,117.4136891
69,0,wgEncodeAwgTfbsSydhK562Pol2s2IggrabUniPk,0.577799119,0.558081106,546.5507259
70,0,wgEncodeAwgTfbsHaibK562Rad21V0416102UniPk,0.804202716,0.780356552,123.8103569
71,0,wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk,0.656237428,0.6401222,118.557724
72,0,wgEncodeAwgTfbsSydhK562Corestsc30189IggrabUniPk,0.670190288,0.660191185,125.9749269
73,0,wgEncodeAwgTfbsSydhK562Corestab24166IggrabUniPk,0.654820382,0.629619694,553.1252289
74,0,wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk,0.691133422,0.662071295,121.6295121
74,1,wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk,0.648229667,0.678194457,124.7865031
75,0,wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk,0.5603125,0.570836333,553.85467
75,1,wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk,0.756822544,0.78337575,554.083915
76,0,wgEncodeAwgTfbsBroadK562Sap3039731UniPk,0.637788889,0.62530333,122.6118381
77,0,wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk,0.648038781,0.643711877,558.605752
78,0,wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk,0.66528507,0.646255154,125.680402
79,0,wgEncodeAwgTfbsSydhK562Sirt6UniPk,0.587430155,0.588782143,556.9456401
80,0,wgEncodeAwgTfbsHaibK562Six5Pcr1xUniPk,0.782328327,0.756350026,556.9449232
81,0,wgEncodeAwgTfbsSydhK562Smc3ab9263IggrabUniPk,0.800060874,0.781709022,131.0820611
82,0,wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk,0.629105831,0.607824204,126.0016439
82,1,wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk,0.770400958,0.763782706,140.4855189
83,0,wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk,0.597199675,0.571106608,560.7958419
83,1,wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk,0.829202721,0.828891003,133.025449
84,0,wgEncodeAwgTfbsHaibK562Pu1Pcr1xUniPk,0.845873389,0.839307771,136.7571549
84,1,wgEncodeAwgTfbsHaibK562Pu1Pcr1xUniPk,0.617524267,0.621752651,144.914885
